特殊陈列拍照,Special display and photo
引擎测试table - 3,Engine test table - 3
创建时间-4,Create time -4
终端名称-4,Terminal name -4
是否有效地址-4,Is the valid address -4
营销组织-4,Marketing organization -4
详细地址-4,Detailed address -4
引擎测试table - 4,Engine test table - 4
线内拜访数,Number of visits in line
计划拜访数,Planned visits
UIFlyCode今日看板测试,UIFlyCode today's Kanban test
查看详情,View the details
收货地址,Receiving address
审批意见,Examination and approval opinion
Test Report Table,Test Report Table
人员KPI批量新增,Personnel KPI added in batch
投放金额(元)：,Amount of money (yuan):
组织KPI批量新增,Organization of KPI batch added
投放金额(元):,Amount of money (yuan):
单点限额（元）,Single point limit (yuan)
用于暂存id,For temporary storage of ID
上报状态：,Report state:
我的客户,My client
渠道客户订单-新增,Channel customer orders - New
门店拜访,Shop visit
交互式WebView,Interactive WebView
订单查询,Order query
全局函数,Global function
请假时长（h）,Long leave time (H)
拍照控件测试,Photo control test
终端订单-新增,Terminal order - New
投放金额（元）:,Amount of money (yuan):
实际投放金额（元）,Actual amount of money (yuan)
目标销售额（元）,Target sales (yuan)
投放金额（元）,Amount of money (yuan)
考勤时间段,Time interval
应用测试,Application test
重要应用,Important application
今日-webView,Today -webView
主管今日看板,Today's Kanban
看板,Kanban
刷新,Refresh
业务员今日,Salesman today
AI拍照测试,AI photo test
AI拍照,AI photograph
订单编辑,Order editing
主管渠道拜访执行,Executive channel visit
主管终端销售业绩,Terminal sales performance
人员考勤,Staff attendance
拜访详情,Visit details
渠道拜访执行,Channel visit execution
集中度,concentration ratio
清晰度,Definition
黄金位置,Gold position
照片背景,Photo background
饱满度,Fullness
占有率,Occupancy
SKU数量,Number of SKU
实际拜访数,Actual number of visits
考勤,Check work attendance
测试表单,test table
费用管理Copy,Cost management Copy
布局,layout
搜索栏,Search bar
费用计划列表Copy,Cost plan list Copy
按钮aaa,Button AAA
按钮aaa111,Button aaa111
11按钮aaa111,11 button aaa111
产品价格检查,Product price check
生动化检查废弃,Vividness examination of abandonment
AICamera测试,AICamera test
实际数,Actual number
定位人员设置,Positioning personnel setting
监控状态,Monitoring state
所属营销区域,Affiliated marketing area
取消监控,Cancellation of monitoring
监控,Monitor
定位监控状态,Positioning monitoring state
查询-岗位,Inquiries - Post
查询-监控状态,Query monitoring state
查询-控件标题,Query - control title
已监控,Monitoring
已监控,Monitoring
未监控,Not monitored
未监控,Not monitored
AI报表,AI Report
生动化检测项配置,Vivid detection item configuration
删除规则,Delete rules
SKU数量不合格定义,Definition of SKU quantity disqualification
本品SKU,This product SKU
最低数量,Minimum quantity
SKU数量不合格规则,SKU quantity disqualification rule
SKU数量不合格规则表格列表行定义,SKU number unqualified rule table list line definition
饱满度不合格定义,Full degree of disqualification definition
某层最低数量,Minimum number of layers
SKU数量配置,SKU number configuration
SKU数量配置表格列表行定义,SKU number configuration table list row definition
SKU空位配置,SKU space configuration
某层空位大于此类SKU最小宽度的百分比(%),The percentage of a layer vacancy greater than the minimum width of such SKU (%).
竞品SKU,Competitive SKU
本品-竞品关系定义,The definition of this product - competitive product relationship
照片背景不合格定义,Definition of photo background disqualification
任意一个本品或竞品SKU的图像占比大于整张照片面积的百分比(%)：,The percentage of images of any product or competing product SKU is larger than that of the whole picture area (%):
编辑规则,Editorial rules
执行人名称,Executor name
SKU数量不合格-规则编辑,SKU quantity disqualification - rule editor
图片提交序号,Image submission number
排面结果信息,Surface result information
sku数量结果信息,SKU quantity result information
假照,Sham
清晰度结果信息,Clarity result information
背景检测结果信息,Background detection result information
结果照片,Result photo
占用率结果信息,Occupancy result information
生动化检查报表,Vivid check report
排面,Platoon
饱满度结果信息,Fullness result information
黄金位置结果信息,Gold position result information
原始照片,Original photo
sku数量,Number of SKU
背景检测,Background detection
占用率,Occupancy rate
集中度结果信息,Concentration result information
照片类型,Photo type
生动化检查报表生动化检查报表-副本,Vividness check report report - copy - copy
AICamera测试AICamera测试-副本,AICamera test AICamera test - copy
AI营业执照识别测试,AI business license identification test
营业执照,Business license
AI营业执照识别测试AI营业执照识别测试-副本,AI business license identification test AI business license recognition test - copy
店头照测试,Store head test
店头照,Shop photo
堆头照片,Head photo
货架照片,Shelf photos
查询-拜访起止时间,Inquiries - visit time
冰柜照片,Freezer photo
查询-业务员,Inquiries - salesman
查询-照片类型,Query - photo type
翻拍识别,Remake recognition
查询-检测结果,Query - detection results
集中度检测,Centralization detection
占用率检测,Occupancy detection
清晰度检测,Sharpness detection
黄金位置检测,Gold position detection
照片背景检测,Photo background detection
饱满度检测,Plumpness detection
SKU数量检测,SKU quantity detection
AiCameraSimplify旋转照,AiCameraSimplify rotation
包含拍照控件的协议,Protocol containing photo controls
组成形式,Form
经营范围,Scope of operation
识别结果,Recognition results
经营场所,place of business
经营者,operator
执照类型,Type of license
注册号,Registration number
AI营业执照识别,AI business license identification
注册日期,Date of registration
SKU信息,SKU information
营业执照信息,Business license information
拜访提交时间,Visit time
产品名称相似性,Product name similarity
价签图片,Price tag picture
产品实际名称,Product real name
产品检测名称,Product detection name
产品检测零售价,Product testing retail price
产品价格一致性,Product price consistency
产品实际零售价,The actual retail price of the product
产品价格检查报表,Product price inspection report
查询-拜访起止日期,Inquiries - call and stop date
查询-产品价格一致性,Query - product price consistency
查询-翻拍识别,Query remake recognition
查询-产品名称相似性,Query - product name similarity
相似,Be similar
不同,difference
一致,Agreement
检测失败,Detection failure
产品检测价格(元),Product detection price (yuan)
产品建议零售价格(元),Product recommended retail price (yuan)
产品价格标签,Product price tag
检测名称,Detection name
店头照报表,Shop head Report
检测结果,detection result
查询-日期范围,Query - date range
终端实际名称,Terminal actual name
查询-是否有效位置,Query - whether or not the location is valid
是否有效位置,Is it valid
查询-code路径编码,Query -code path coding
AI分析概论,An introduction to AI analysis
陈列检查-照片分析,Display inspection photo analysis
aiCameraSimplify营业执照,AiCameraSimplify business license
AI分析概论报表,AI Analysis Report
陈列检查-终端分析,Display inspection terminal analysis
ai照片,AI photo
其他检测,Other tests
本品占比,The proportion of this product
竞品数量,Quantity of competitive goods
竞品占比,Competition ratio
检测结果查看,Check result view
店名识别,Store name recognition
关联渠道类型,Type of associated channel
规则名称,Rule name
生动化检测项-列表查询,Vivid detection item - list query
规则应用,Rule application
应用渠道类型,Application channel type
生动化检查配置规则设置,Vividness check configuration rule setting
属性,attribute
占比,Occupation ratio
生动化检测项规则设置,Rule setting of vividness detection item
生动化检测规则配置,Rule configuration of vividness detection
规则类型,Rule type
生动化检测规则-新增编辑,Vivid detection rules - new editors
测试轨迹,Test trajectory
任意一个本品或竞品SKU的图像占比大于整张照片面积的百分比（%）:,The percentage of images of any product or competing product SKU is larger than that of the whole picture area (%):
测试2,Test 2
轨迹测试,Trajectory testing
请输入数字,please enter a number
任意一个本品或竞品SKU的图像占比大于整张照片面积的百分比(%):,The percentage of images of any product or competing product SKU is larger than that of the whole picture area (%):
今日测试,Today test
测试菜单,Test menu
同意以上协议,Agree to the above agreement
测试今日,Test today
生动化检测项-规则应用,Vivid detection term - rule application
今日首页,Today's home page
tabbar菜单,Tabbar menu
报表首页,Report page
费用管理测试,Cost management test
删除sss,Delete SSS
渠道类型999,Channel type 999
渠道类型9991订单,Channel type 9991 order
渠道类型911,Channel type 911
渠道类型91177,Channel type 91177
应用导航,Application navigation
渠道类型9订单,Channel type 9 order
鲜品促销店面工作,Sales promotion shop
竞品,Competitive product
营业执照报表,Business license statement
营业执照照片,Business license photo
查询-时间范围,Query - time range
识别名称,Identification name
查询-识别结果,Query recognition results
识别失败,Identification failure
无效照片,Invalid photo
识别成功,Identification success
价格识别,Price identification
价格识别1,Price identification 1
目标销售数量,Target sales volume
实际销售数量,Actual sales volume
价格识别2,Price identification 2
价格识别test,Price identification test
折叠列表,Folding list
其他项检测,Other item detection
关联ai分析结果id,Correlation AI analysis results ID
AI业务员职位,AI salesman position
AICamera列表,AICamera list
组织形式,Organizational form
区域营销ID,Regional marketing ID
检测项结果,Test result
防假拍检测结果,False beat detection result
客户冰柜照片,Photo of the client's freezer
营业执照检测结果,Test result of business license
店头照识别结果,Store head identification results
价格识别后的结果id,The result of price identification ID
翻拍照片状态码,Remake photo status code
注册号/统一 社会信用代码,Registration number / unified social credit code
AI生动化检查,AI vividness examination
统一社会信用代码/注册号,Unified social credit code / registration number
假拍状态,False beat state
费用测试,Cost test
AI分析概览,Overview of AI analysis
稽查,Inspection
Ai快拍,Ai snapshot
数据请求统一ID,Unified ID for data requests
终端名称s,Terminal name s
终端名称d,Terminal name D
AI概览-信息提示,AI Overview - information hints
统计规则提示：终端下提交的所有陈列照片的以下5个检测项都达标，则此终端为合格终端。,The statistical rules suggest that the following 5 items of inspection items submitted by the terminal are up to standard, and the terminals are qualified terminals.
1.本品数量：大于0,1. the quantity of this product: more than 0
2.占有率：每类本品占比大于竞品占比,2. share: the proportion of each class is greater than the competition ratio
3.照片背景：任意一个本品或竞品SKU的图像占比小于整张照片面积的对应设置占比,3. photo background: any one product or competing product SKU occupies less than the whole picture area.
4.翻拍识别：真实拍照,4. remake recognition: Real Photo
5.清晰度：照片清晰,5. definition: clear picture
终端陈列情况,Terminal display
统计规则提示：终端下提交的所有陈列照片的以下5个检测项都达标，则此终端为合格终端。,The statistical rules suggest that the following 5 items of inspection items submitted by the terminal are up to standard, and the terminals are qualified terminals.
1.本品数量：大于0,1. the quantity of this product: more than 0
2.占有率：每类本品占比大于竞品占比,2. share: the proportion of each class is greater than the competition ratio
3.照片背景：任意一个本品或竞品SKU的图像占比小于整张照片面积的对应设置占比,3. photo background: any one product or competing product SKU occupies less than the whole picture area.
4.翻拍识别：真实拍照,4. remake recognition: Real Photo
5.清晰度：照片清晰,5. definition: clear picture
AI-终端陈列分析报表,AI- terminal display analysis report
意图列表,Intent list
下订单,Order down
查看下属工作轨迹,View the track of subordinates' work
查看工作轨迹,Look at the work track
指定客户下单,Designated customer order
拜访,visit
新增计划拜访客户,New plans to visit customers
查看下属拜访情况,Look at the visits of the subordinates
渠道拜访详情报表,Channel visit details Report
终端拜访详情报表,Terminal visit details Report
负责终端客户总数报表,Report on the total number of end customers
销量报表,Sales Report
考勤报表,Attendance report
查看考勤记录,Check the attendance record
查看销量业绩,Look at sales performance
统计规则提示,Statistical rule hints
统计规则,Statistical rules
查看今日看板,Look at today's Kanban
查看考勤报表,Check the attendance report
查看销售业绩,Look at sales performance
查看终端客户情况,View the terminal customer situation
查看终端拜访情况,Look at the terminal visit
查看渠道拜访情况,Check out channel visits
拜访客户,Visit customers
移除计划拜访客户,Remove plans to visit customers
查看我的拜访计划,Look at my visit plan
统一 社会信用代码/注册号,Unified social credit code / registration number
冰柜陈列,Freezer display
堆头陈列,Head display
tabbar菜单测试,Tabbar menu test
今日首页测试,Today's home page test
报表首页测试,Report home page test
工作轨迹测试,Work trajectory test
费用列表,Cost list
渠道,channel
下属-终端详情,Subordinates terminal details
下属拜访情况详情,Details of a visit to a subordinate
费用-自由布局,Cost free layout
资产,Assets
是否重点,Is it important
测试自由布局,Free test layout
下拉框,Dropdown box
复选框,check box
历史终端名称,History terminal name
AI生动化检测(test),AI vividness detection (test)
AI业务员,AI salesman
数据提交唯一ID,Data submission only ID
营销组织2,Marketing organization 2
AI图片,AI picture
陈列照,Display photos
生动化检查（AI）,Vividness examination (AI)
冰柜陈列评分,Freezer display score
堆头陈列检测,Head display detection
冰柜陈列检测,Display and detection of freezer
终端渠道,Terminal channel
货架陈列检测,Shelf display detection
提交时系统终端名称,System terminal name at the time of submission
图片ID,Picture ID
sku识别详情,SKU identification details
SKU数量及其他项检测,SKU quantity and other items detection
照片类型显示值,Photo type display value
分配客户主页面,Distribution of customer's main page
分配客户,Assigning customers
成员列表,Member list
渠道客户数量,Number of channel customers
终端客户数量,Terminal customer number
产品品类1,Product category 1
更新数据,Update data
高级设置,advanced setting
关于我们,About us
退出,Sign out
查询-客户类别,Query - customer category
转移客户,Transfer customers
客户总数,Total number of customers
重新定位,Repositioning
批发渠道,Wholesale channel
木莲庄酒店-玄讯,Mu Lian Zhuang Hotel - Xuan news
小玄,Small metaphysics
暂无数据,No data
新增客户列表,New customer list
企业组织架构,Organizational structure of enterprise
分配,distribution
断网了,Break the net
连网了,Networking
企业动态,Enterprise dynamics
完成,complete
搜索,search
工作提醒,Work reminding
被转移人员列表,List of people transferred
查询-人员名称,Query - staff name
日,day
生动化检查2（AI）,Vividness check 2 (AI)
非AI图片,Non AI picture
SKU数量及其他项检测2,SKU number and other item test 2
转移客户页面,Transfer customer page
被转移人员选择,Transferred personnel selection
从他人转移客户,Transfer customers from others
被转移人员id,Transferred person Id
待办列表,To-do list
刀切,Knife cutting
